birth_year,profile,photo,name,id,birth_day,birth_month,country_id
1995,https://www.olympic.org/pyeongchang-2018/results/en/alpine-skiing/athlete-profile-n3022667-dinos-lefkaritis.htm,https://www.olympic.org/pyeongchang-2018/results/resOWG2018/img/bios/photos/3022667.jpg,dinos lefkaritis,3022667,30,03,CYP
1993,https://www.olympic.org/pyeongchang-2018/results/en/alpine-skiing/athlete-profile-n3042081-adam-kotzmann.htm,https://www.olympic.org/pyeongchang-2018/results/resOWG2018/img/bios/photos/3042081.jpg,adam kotzmann,3042081,08,04,CZE
1996,https://www.olympic.org/pyeongchang-2018/results/en/alpine-skiing/athlete-profile-n3029370-casper-dyrbye-naested.htm,https://www.olympic.org/pyeongchang-2018/results/resOWG2018/img/bios/photos/3029370.jpg,casper dyrbye naested,3029370,19,06,DEN
1996,https://www.olympic.org/pyeongchang-2018/results/en/alpine-skiing/athlete-profile-n3048200-shannon-abeda.htm,https://www.olympic.org/pyeongchang-2018/results/resOWG2018/img/bios/photos/3048200.jpg,shannon abeda,3048200,15,05,ERI
1994,https://www.olympic.org/pyeongchang-2018/results/en/alpine-skiing/athlete-profile-n3029969-juan-del-campo.htm,https://www.olympic.org/pyeongchang-2018/results/resOWG2018/img/bios/photos/3029969.jpg,juan del campo,3029969,28,06,ESP
2000,https://www.olympic.org/pyeongchang-2018/results/en/alpine-skiing/athlete-profile-n3043274-tormis-laine.htm,https://www.olympic.org/pyeongchang-2018/results/resOWG2018/img/bios/photos/3043274.jpg,tormis laine,3043274,06,08,EST
1991,https://www.olympic.org/pyeongchang-2018/results/en/alpine-skiing/athlete-profile-n3026889-samu-torsti.htm,https://www.olympic.org/pyeongchang-2018/results/resOWG2018/img/bios/photos/3026889.jpg,samu torsti,3026889,05,09,FIN
1991,https://www.olympic.org/pyeongchang-2018/results/en/alpine-skiing/athlete-profile-n3025846-alexis-pinturault.htm,https://www.olympic.org/pyeongchang-2018/results/resOWG2018/img/bios/photos/3025846.jpg,alexis pinturault,3025846,20,03,FRA
1992,https://www.olympic.org/pyeongchang-2018/results/en/alpine-skiing/athlete-profile-n3025824-mathieu-faivre.htm,https://www.olympic.org/pyeongchang-2018/results/resOWG2018/img/bios/photos/3025824.jpg,mathieu faivre,3025824,18,01,FRA
1981,https://www.olympic.org/pyeongchang-2018/results/en/alpine-skiing/athlete-profile-n3026930-thomas-fanara.htm,https://www.olympic.org/pyeongchang-2018/results/resOWG2018/img/bios/photos/3026930.jpg,thomas fanara,3026930,24,04,FRA
1984,https://www.olympic.org/pyeongchang-2018/results/en/alpine-skiing/athlete-profile-n3025837-thomas-mermillod-blondin.htm,https://www.olympic.org/pyeongchang-2018/results/resOWG2018/img/bios/photos/3025837.jpg,thomas mermillod blondin,3025837,03,01,FRA
1989,https://www.olympic.org/pyeongchang-2018/results/en/alpine-skiing/athlete-profile-n3025842-victor-muffat-jeandet.htm,https://www.olympic.org/pyeongchang-2018/results/resOWG2018/img/bios/photos/3025842.jpg,victor muffat-jeandet,3025842,05,03,FRA
1988,https://www.olympic.org/pyeongchang-2018/results/en/alpine-skiing/athlete-profile-n3014896-iason-abramashvili.htm,https://www.olympic.org/pyeongchang-2018/results/resOWG2018/img/bios/photos/3014896.jpg,iason abramashvili,3014896,26,04,GEO
1994,https://www.olympic.org/pyeongchang-2018/results/en/alpine-skiing/athlete-profile-n3031803-alexander-schmid.htm,https://www.olympic.org/pyeongchang-2018/results/resOWG2018/img/bios/photos/3031803.jpg,alexander schmid,3031803,09,06,GER
1987,https://www.olympic.org/pyeongchang-2018/results/en/alpine-skiing/athlete-profile-n3030906-fritz-dopfer.htm,https://www.olympic.org/pyeongchang-2018/results/resOWG2018/img/bios/photos/3030906.jpg,fritz dopfer,3030906,24,08,GER
1992,https://www.olympic.org/pyeongchang-2018/results/en/alpine-skiing/athlete-profile-n3031816-linus-strasser.htm,https://www.olympic.org/pyeongchang-2018/results/resOWG2018/img/bios/photos/3031816.jpg,linus strasser,3031816,06,11,GER
1995,https://www.olympic.org/pyeongchang-2018/results/en/alpine-skiing/athlete-profile-n3026658-ioannis-antoniou.htm,https://www.olympic.org/pyeongchang-2018/results/resOWG2018/img/bios/photos/3026658.jpg,ioannis antoniou,3026658,27,01,GRE
1985,https://www.olympic.org/pyeongchang-2018/results/en/alpine-skiing/athlete-profile-n3034553-dalibor-samsal.htm,https://www.olympic.org/pyeongchang-2018/results/resOWG2018/img/bios/photos/3034553.jpg,dalibor samsal,3034553,25,12,HUN
1989,https://www.olympic.org/pyeongchang-2018/results/en/alpine-skiing/athlete-profile-n3017244-mohammad-kiyadarbandsari.htm,https://www.olympic.org/pyeongchang-2018/results/resOWG2018/img/bios/photos/3017244.jpg,mohammad kiyadarbandsari,3017244,09,10,IRI
1994,https://www.olympic.org/pyeongchang-2018/results/en/alpine-skiing/athlete-profile-n3041382-sturla-snaer-snorrason.htm,https://www.olympic.org/pyeongchang-2018/results/resOWG2018/img/bios/photos/3041382.jpg,sturla snaer snorrason,3041382,01,03,ISL
1998,https://www.olympic.org/pyeongchang-2018/results/en/alpine-skiing/athlete-profile-n3018283-itamar-biran.htm,https://www.olympic.org/pyeongchang-2018/results/resOWG2018/img/bios/photos/3018283.jpg,itamar biran,3018283,03,03,ISR
1984,https://www.olympic.org/pyeongchang-2018/results/en/alpine-skiing/athlete-profile-n3027588-florian-eisath.htm,https://www.olympic.org/pyeongchang-2018/results/resOWG2018/img/bios/photos/3027588.jpg,florian eisath,3027588,27,11,ITA
